campaign_key,campaign_name,objective
1,Grüner Strom Aktion,Neukundengewinnung
2,Wärmepumpen Förderung 2024,Produktlaunch
3,Solar Frühlings-Rabatt,Upsell
4,Smart Home Einführungsangebot,Produktlaunch
5,E-Mobility Bonus,Neukundengewinnung
6,Ökostrom für alle,Markenbekanntheit
7,Wintercheck Heizung,Kundenbindung
8,Energiespar-Challenge,Engagement
9,Nachbarschafts-Empfehlung,Empfehlung
10,Business Energy Paket,Lead-Generierung
11,Energie Kampagne 11,Upsell
12,Energie Kampagne 12,Kundenbindung
13,Energie Kampagne 13,Neukundengewinnung
14,Energie Kampagne 14,Kundenbindung
15,Energie Kampagne 15,Neukundengewinnung
16,Energie Kampagne 16,Upsell
17,Energie Kampagne 17,Upsell
18,Energie Kampagne 18,Neukundengewinnung
19,Energie Kampagne 19,Upsell
20,Energie Kampagne 20,Neukundengewinnung
21,Energie Kampagne 21,Upsell
22,Energie Kampagne 22,Neukundengewinnung
23,Energie Kampagne 23,Lead-Generierung
24,Energie Kampagne 24,Kundenbindung
25,Energie Kampagne 25,Upsell
26,Energie Kampagne 26,Lead-Generierung
27,Energie Kampagne 27,Lead-Generierung
28,Energie Kampagne 28,Upsell
29,Energie Kampagne 29,Upsell
30,Energie Kampagne 30,Upsell
31,Energie Kampagne 31,Upsell
32,Energie Kampagne 32,Kundenbindung
33,Energie Kampagne 33,Upsell
34,Energie Kampagne 34,Neukundengewinnung
35,Energie Kampagne 35,Upsell
36,Energie Kampagne 36,Upsell
37,Energie Kampagne 37,Upsell
38,Energie Kampagne 38,Neukundengewinnung
39,Energie Kampagne 39,Kundenbindung
40,Energie Kampagne 40,Lead-Generierung
41,Energie Kampagne 41,Upsell
42,Energie Kampagne 42,Upsell
43,Energie Kampagne 43,Kundenbindung
44,Energie Kampagne 44,Neukundengewinnung
45,Energie Kampagne 45,Lead-Generierung
46,Energie Kampagne 46,Upsell
47,Energie Kampagne 47,Neukundengewinnung
48,Energie Kampagne 48,Kundenbindung
49,Energie Kampagne 49,Upsell
50,Energie Kampagne 50,Upsell
51,Energie Kampagne 51,Upsell
52,Energie Kampagne 52,Neukundengewinnung
53,Energie Kampagne 53,Neukundengewinnung
54,Energie Kampagne 54,Kundenbindung
55,Energie Kampagne 55,Kundenbindung
56,Energie Kampagne 56,Lead-Generierung
57,Energie Kampagne 57,Kundenbindung
58,Energie Kampagne 58,Lead-Generierung
59,Energie Kampagne 59,Upsell
60,Energie Kampagne 60,Lead-Generierung
61,Energie Kampagne 61,Kundenbindung
62,Energie Kampagne 62,Kundenbindung
63,Energie Kampagne 63,Upsell
64,Energie Kampagne 64,Kundenbindung
65,Energie Kampagne 65,Kundenbindung
66,Energie Kampagne 66,Upsell
67,Energie Kampagne 67,Kundenbindung
68,Energie Kampagne 68,Lead-Generierung
69,Energie Kampagne 69,Neukundengewinnung
70,Energie Kampagne 70,Lead-Generierung
71,Energie Kampagne 71,Upsell
72,Energie Kampagne 72,Upsell
73,Energie Kampagne 73,Neukundengewinnung
74,Energie Kampagne 74,Upsell
75,Energie Kampagne 75,Lead-Generierung
76,Energie Kampagne 76,Neukundengewinnung
77,Energie Kampagne 77,Kundenbindung
78,Energie Kampagne 78,Kundenbindung
79,Energie Kampagne 79,Neukundengewinnung
80,Energie Kampagne 80,Neukundengewinnung
81,Energie Kampagne 81,Kundenbindung
82,Energie Kampagne 82,Neukundengewinnung
83,Energie Kampagne 83,Neukundengewinnung
84,Energie Kampagne 84,Neukundengewinnung
85,Energie Kampagne 85,Neukundengewinnung
86,Energie Kampagne 86,Lead-Generierung
87,Energie Kampagne 87,Upsell
88,Energie Kampagne 88,Kundenbindung
89,Energie Kampagne 89,Kundenbindung
90,Energie Kampagne 90,Neukundengewinnung
91,Energie Kampagne 91,Lead-Generierung
92,Energie Kampagne 92,Upsell
93,Energie Kampagne 93,Upsell
94,Energie Kampagne 94,Neukundengewinnung
95,Energie Kampagne 95,Neukundengewinnung
96,Energie Kampagne 96,Neukundengewinnung
97,Energie Kampagne 97,Upsell
98,Energie Kampagne 98,Kundenbindung
99,Energie Kampagne 99,Upsell
100,Energie Kampagne 100,Neukundengewinnung
