department_key,department_name
10,Finanzen
11,Buchhaltung
12,Controlling
13,Steuern
14,Revision
15,Treasury
16,Einkauf
17,Recht
18,Compliance
19,Risikomanagement
20,Vertrieb Privatkunden
21,Vertrieb Gewerbekunden
22,Kundenservice
23,Vertriebssteuerung
24,Partnermanagement
25,Technischer Vertrieb
26,Key Account Management
27,Innendienst
28,Außendienst
29,Vertriebssupport
30,Marketing
31,Digital Marketing
32,Content Marketing
33,Produktmarketing
34,Markenführung
35,Event Marketing
36,Marktforschung
37,Unternehmenskommunikation
38,Social Media
39,Marketing Operations
40,Personal
